employee_id,first_name,last_name,email,phone,gender,hire_date,salary,designation,store_id
1,Wishi,Bala,narangekaja@example.com,7980441509,Female,2019-07-02,74612,Store Manager,46
2,Tripti,Krishnan,mohanavi@example.net,4830721699,Female,2020-03-21,20927,Cashier,11
3,Janani,Bajaj,om77@example.com,3351492300,Female,2020-10-10,27804,Customer Support,35
4,Lakshmi,Joshi,bawalohit@example.com,6717584121,Female,2023-07-22,53341,Sales Executive,27
5,Damyanti,Nayak,omajamohanty@example.net,6591388883,Female,2020-10-31,18583,Customer Support,30
6,Hritik,Wali,ravibhavini@example.net,8801391293,Male,2021-03-01,36399,Store Manager,21
7,Lila,Nagarajan,nachiket45@example.org,2583838942,Female,2019-10-01,45066,Cashier,35
8,Dayita,Divan,ldhar@example.com,5896717104,Female,2020-05-26,65162,Sales Executive,32
9,Libni,Pandey,wakeetavenkatesh@example.net,5815312234,Female,2019-07-20,66409,Cashier,7
10,Kabir,Ganesh,anthonyroy@example.net,6474629909,Male,2021-10-24,59947,Inventory Executive,26
11,Jagat,Sarma,fsahni@example.net,6704289807,Male,2020-04-18,67271,Store Manager,26
12,Vasana,Deol,samuel13@example.net,1554022570,Female,2024-11-24,52562,Customer Support,36
13,Ishaan,Uppal,badalsaumya@example.com,2863039763,Male,2019-12-01,72455,Customer Support,8
14,Wyatt,Sheth,harinimemon@example.net,3025393619,Male,2020-08-29,76956,Inventory Executive,5
15,Arjun,Wason,svig@example.net,1594723825,Male,2024-10-23,44130,Sales Executive,4
16,Tamanna,Ram,goyalhemani@example.com,4400795703,Female,2019-03-31,57794,Store Manager,49
17,Siddharth,Mander,tbhargava@example.com,4903889913,Male,2024-10-15,77617,Store Manager,13
18,Aayush,Doshi,ntak@example.net,9870696490,Male,2024-07-11,53035,Cashier,33
19,Vritti,Contractor,xsathe@example.net,4073733829,Female,2021-11-13,60920,Inventory Executive,40
20,Janya,Menon,zayan79@example.org,2089669869,Female,2020-09-16,56202,Inventory Executive,41
21,Jason,Parsa,jagat71@example.org,8980436081,Male,2024-04-30,24284,Cashier,34
22,Maanas,Keer,ayushahluwalia@example.net,4405551263,Male,2023-07-04,73803,Sales Executive,40
23,Urishilla,Pandya,pandyavrishti@example.com,3594565047,Female,2026-04-19,36236,Inventory Executive,50
24,Harita,Babu,fdubey@example.net,0224644335,Female,2026-05-29,28625,Inventory Executive,34
25,Imaran,Sant,manthanhayer@example.net,5520120411,Male,2023-09-26,42384,Customer Support,10
26,Ranbir,Rai,kramaswamy@example.net,6600653266,Male,2022-12-29,30876,Customer Support,1
27,Advik,Mall,yochanapant@example.net,9204424287,Male,2026-03-25,25522,Sales Executive,16
28,Jagvi,Sanghvi,rbhat@example.org,1714405209,Female,2024-12-15,65316,Customer Support,45
